City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Killarney,IE,52.05,-9.5167,50.16,95,100,2.21,overcast clouds
80,Suffolk,US,40.8668,-72.7996,59.86,62,0,8.05,clear sky
81,Los Banos,PH,14.1667,121.1833,82.8,79,100,5.3,overcast clouds
82,Kapaa,US,22.0752,-159.319,82.38,79,40,18.41,scattered clouds
83,Geraldton,AU,-28.7667,114.6,48.61,87,0,5.75,clear sky
84,Borazjan,IR,29.2666,51.2159,79.05,45,0,3.44,clear sky
85,Ribeira Grande,PT,38.5167,-28.7,62.69,82,23,3.36,few clouds
86,Khatanga,RU,71.9667,102.5,12.88,91,81,8.28,broken clouds
87,Araouane,ML,18.9048,-3.5265,80.96,14,0,10.54,clear sky
88,Brignoles,FR,43.4,6.0667,54.61,64,41,0.38,scattered clouds
89,Kodiak,US,57.79,-152.4072,44.11,76,75,19.57,broken clouds
90,East London,ZA,-33.0153,27.9116,61.52,79,0,7.92,clear sky
91,Avera,US,33.194,-82.5271,82.45,59,91,8.84,overcast clouds
92,Neryungri,RU,56.6709,124.6491,28.31,96,100,1.39,snow
93,Provideniya,RU,64.3833,-173.3,29.05,62,17,12.5,few clouds
94,Yanam,IN,16.7333,82.2167,78.69,97,34,2.64,scattered clouds
95,Seoul,KR,37.5683,126.9778,53.04,46,0,4.47,clear sky
96,Mahajanga,MG,-15.7167,46.3167,79.23,62,49,9.01,scattered clouds
97,Lavrentiya,RU,65.5833,-171.0,18.95,74,22,12.1,few clouds
98,Middelkerke,BE,51.1558,2.8418,51.1,84,0,6.91,clear sky
99,Tasiilaq,GL,65.6145,-37.6368,26.76,57,89,5.86,overcast clouds
100,Kemin,KG,42.7846,75.6892,61.02,41,80,8.81,broken clouds
101,Thompson,CA,55.7435,-97.8558,28.29,88,100,11.34,overcast clouds
102,Huarmey,PE,-10.0681,-78.1522,67.59,83,71,7.65,broken clouds
103,Rong Kwang,TH,18.339,100.3174,72.93,91,48,2.84,scattered clouds
104,Santa Cruz,BO,-17.8,-63.1667,76.73,58,3,6.4,clear sky
105,Urumqi,CN,43.801,87.6005,68.95,12,0,29.08,clear sky
106,Hofn,IS,64.2539,-15.2082,35.2,58,100,13.49,overcast clouds
107,Esmeralda,CU,21.8525,-78.1169,79.32,67,21,13.29,few clouds
108,Katsuura,JP,35.1333,140.3,56.37,71,100,12.37,overcast clouds
109,Nioro,GM,13.35,-15.75,84.31,31,43,7.0,scattered clouds
110,Hammerfest,NO,70.6634,23.6821,27.05,80,40,9.22,scattered clouds
111,Arman,RU,59.7,150.1667,43.02,77,42,3.89,scattered clouds
112,Bairiki,KI,1.3292,172.9752,80.67,81,80,12.97,light rain
113,Carnarvon,AU,-24.8667,113.6333,73.53,53,0,10.45,clear sky
114,Iralaya,HN,15.0,-83.2333,82.22,77,70,10.63,broken clouds
